path,rosetta_sc,msms_sc,hybrid_sc,msms_nta,hybrid_nta,used_sphere_fallback
/nfs/polizzi/bfry/programs/CARPdock/apixaban_ntf2_screen/boltz_results_selected_poses_laser_boltz_inputs/predictions/seq_0862/seq_0862_model_0.pdb,0.677,0.4691443592309952,0.4691443592309952,7549,7549,0
/nfs/polizzi/bfry/programs/CARPdock/apixaban_ntf2_screen/boltz_results_selected_poses_laser_boltz_inputs/predictions/seq_0815/seq_0815_model_0.pdb,0.704,0.5101276189088821,0.5101276189088821,7330,7330,0
/nfs/polizzi/bfry/programs/CARPdock/apixaban_ntf2_screen/boltz_results_selected_poses_laser_boltz_inputs/predictions/seq_0172/seq_0172_model_0.pdb,0.647,0.4472007006406784,0.4472007006406784,8127,8127,0
/nfs/polizzi/bfry/programs/CARPdock/apixaban_ntf2_screen/boltz_results_selected_poses_laser_boltz_inputs/predictions/seq_0535/seq_0535_model_0.pdb,0.759,0.5175221860408783,0.5175221860408783,7145,7145,0
/nfs/polizzi/bfry/programs/CARPdock/apixaban_ntf2_screen/boltz_results_selected_poses_laser_boltz_inputs/predictions/seq_0918/seq_0918_model_0.pdb,0.682,0.49787892401218414,0.49787892401218414,8551,8551,0
/nfs/polizzi/bfry/programs/CARPdock/apixaban_ntf2_screen/boltz_results_selected_poses_laser_boltz_inputs/predictions/seq_0981/seq_0981_model_0.pdb,0.681,0.5032223463058472,0.5032223463058472,7611,7611,0
/nfs/polizzi/bfry/programs/CARPdock/apixaban_ntf2_screen/boltz_results_selected_poses_laser_boltz_inputs/predictions/seq_0438/seq_0438_model_0.pdb,0.703,0.46572959423065186,0.46572959423065186,7312,7312,0
/nfs/polizzi/bfry/programs/CARPdock/apixaban_ntf2_screen/boltz_results_selected_poses_laser_boltz_inputs/predictions/seq_0091/seq_0091_model_0.pdb,0.575,0.4564269930124283,0.4564269930124283,7324,7324,0
/nfs/polizzi/bfry/programs/CARPdock/apixaban_ntf2_screen/boltz_results_selected_poses_laser_boltz_inputs/predictions/seq_0965/seq_0965_model_0.pdb,0.709,0.5052094757556915,0.5052094757556915,7674,7674,0
/nfs/polizzi/bfry/programs/CARPdock/apixaban_ntf2_screen/boltz_results_selected_poses_laser_boltz_inputs/predictions/seq_1227/seq_1227_model_0.pdb,0.637,0.4475628435611725,0.4475628435611725,7773,7773,0
